SOURCE_SWITCH_ID,DESTINATION_SWITCH_ID,MEASUREDLENGTH,PATH,CABLETYPE,NUMBEROFCORES,ARMOURED,NEUTRALMATERIAL,CABLEID,CABLECONDUCTORMATERIAL,DIVISIONCODE,ZONECODE,REMARKS,SOURCE_SS,DESTINATION_SS,DATECREATED,NO_OF_SEGMENT,SWNO,VOLTAGE,I_Month_01,I_Month_02,I_Month_03,I_Month_04,I_Month_05,I_Month_06,I_Month_07,I_Month_08,I_Month_09,I_Month_10,I_Month_11,I_Month_12,PEAK_Month_01,PEAK_Month_02,PEAK_Month_03,PEAK_Month_04,PEAK_Month_05,PEAK_Month_06,PEAK_Month_07,PEAK_Month_08,PEAK_Month_09,PEAK_Month_10,PEAK_Month_11,PEAK_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12,OVR_Month_01,OVR_Month_02,OVR_Month_03,OVR_Month_04,OVR_Month_05,OVR_Month_06,OVR_Month_07,OVR_Month_08,OVR_Month_09,OVR_Month_10,OVR_Month_11,OVR_Month_12,Num_Faults,SWITCH_NO,FAULT_STATION_NAME,FAULT_STD_CABLE_SIZE,FAULT_CABLE_TYPE,FAULT_TIME_OUTAGE,FAULT_SOURCE_SS,FAULT_FROM_SWITCH,FAULT_DESTINATION_SS,FAULT_TO_SWITCH,FAULT_VOLTAGE,FAULT_TIME_DIFFERENCE_HOURS,FAULT_RELAY_FUSE_B,FAULT_RELAY_FUSE_N,FAULT_RELAY_FUSE_Y,FAULT_DIVISION,FAULT_RELAY_FUSE,FAULT_AFFECTED_STATION,FAULT_AFFECTED_SWITCH,REASON_CATEGORY,REASON_TEXT,IR_Measurement_MOhm,Tan_Delta,Partial_Discharge_Frequency,Partial_Discharge_Intensity
,,0.000,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1210,33010,302.700,POISAR REC-STN TO G.O.D.-1210 (JTNO.01 TO JTNO.02) → POISAR REC-STN TO G.O.D.-1210 (JTNO.02 TO JTNO.03) → POISAR REC-STN TO G.O.D.-1210 (JTNO.03 TO G.O.D.1210),XLPE,3.0,Y,AL,HT33KV6908556121,AL,3000.0,3034,POTHEAD,POISAR REC-STN,POISAR REC-STN,2016-02-02 00:00:00+00:00,3,33010,33KV,92.195,100.376,113.460,133.005,142.960,139.754,147.952,147.952,120.782,132.675,,,210.636,174.220,206.070,200.380,199.640,260.673,147.952,147.952,167.160,173.420,,,1.000,0.000,5.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,,,150.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1213,33018,313.200,POISAR REC-STN_33018 TO G.O.D.-1213 (JTNO.01A TO JTNO.02A) → POISAR REC-STN_33018 TO G.O.D.-1213 (JTNO.02A TO JTNO.03A) → POISAR REC-STN_33018 TO G.O.D.-1213(JTNO.03A TO G.O.D. NO.1213),XLPE,3.0,Y,AL,HT33KV6908556118,AL,3000.0,3034,POTHEAD,POISAR REC-STN,POISAR REC-STN,2016-02-04 00:00:00+00:00,3,33018,33KV,111.303,69.006,75.266,93.100,99.881,103.680,92.315,92.315,76.731,177.467,170.105,146.915,241.520,193.110,193.082,209.700,217.885,201.171,92.315,92.315,216.620,273.330,232.750,230.970,2.000,0.000,1.000,3.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,28.000,78.000,34.000,2.000,2.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR102,33008,7060.300,JT.NO.01 → SWNO_33008 → JT.NO.02 → JT.NO.01 → JT.NO.02A → JT.NO.02A → JT.NO.02A → JT.NO.02E → JT.NO.02B → JT.NO.02A → JT.NO.02D → JT.NO.02 → JT.NO.02E → JT.NO.02D → JT.NO.03 → JT.NO.02B → JT.NO.03A → JT.NO.03 → JT.NO.04B → JT.NO.03 → JT.NO.06A → JT.NO.06 → JT.NO.07A → JT.NO.07B → JT.NO.07B → JT.NO.06A → JT.NO.08 → JT.NO.07A → JT.NO.08A → JT.NO.08C → JT.NO.08B → JT.NO.08 → JT.NO.08C → JT.NO.08B → JT.NO.09 → JT.NO.08A → JT.NO.10 → JT.NO.9 → JT.NO.11 → JT.NO.11A → JT.NO.11A → JT.NO.11B → JT.NO.11B → JT.NO.10 → JT.NO.12 → JT.NO.11 → JT.NO.13 → JT.NO.12 → JT.NO.13A → JT.NO.13 → JT.NO.14 → JT.NO.13A → JT.NO.15 → JT.NO.14 → JT.NO.15A → JT.NO.15 → JT.NO.15B → JT.NO.15A → JT.NO.16 → JT.NO.15B → JT.NO.17 → JT.NO.16 → JT.NO.18 → JT.NO.17 → JT.NO.18A → JT.NO.18 → JT.NO.19 → JT.NO.18A → JT.NO.20 → JT.NO.19 → JT.NO.20A → JT.NO.20B → JT.NO.20B → JT.NO.20 → JT.NO.21 → JT.NO.20A → JT.NO.21A → JT.NO.21B → JT.NO.21B → JT.NO.21 → JT.NO.22 → JT.NO.21A → JT.NO.22A → JT.NO.22 → JT.NO.22B → JT.NO.22A → JT.NO.23 → JT.NO.22B → JT.NO.24 → JT.NO.23 → JT.NO.25 → JT.NO.25A → JT.NO.25A → JT.NO.24 → JT.NO.26 → JT.NO.25 → JT.NO.26A → JT.NO.26 → JT.NO.26B → JT.NO.26A → JT.NO.27 → JT.NO.26B → JT.NO.27A → JT.NO.27 → JT.NO.28 → JT.NO.27A → JT.NO.28A → JT.NO.28 → JT.NO.29 → JT.NO.28A → JT.NO.29A → JT.NO.29 → JT.NO.29B → JT.NO.29A → JT.NO.30 → JT.NO.30A → JT.NO.30A → JT.NO.30 → JT.NO.30A → JT.NO.30B → JT.NO.30B → JT.NO.29B → JT.NO.31 → JT.NO.30A → JT.NO.32 → JT.NO.31 → JT.NO.32A → JT.NO.32B → JT.NO.32B → JT.NO.32 → JT.NO.33 → JT.NO.33A → JT.NO.33A → JT.NO.32A → JT.NO.5 → JT.NO.5A → JT.NO.5A → JT.NO.4B → JT.NO.6 → JT.NO.5 → SWNO_220AAR102 → JT.NO.33,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023,,220 kV AAREY EHV STATION,VILE-PARLE REC-STN,2006-09-30 00:00:00+00:00,71,33008,33KV,111.380,110.875,126.967,137.393,149.228,142.976,133.400,133.400,112.140,117.688,114.456,124.483,216.995,227.933,230.470,273.050,272.075,275.200,133.400,133.400,254.690,238.680,160.550,250.000,4.000,6.000,6.000,1.000,6.000,2.000,0.000,0.000,0.000,1.000,0.000,4.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,52.000,10.000,0.000,16.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR103,33035,29.564,SWNO_33035,XLPE,1.0,Y,AL,,AL,3000.0,3033,,220 kV AAREY EHV STATION,MAHANANDA REC-STN,2024-11-09 00:00:00+00:00,1,33035,33KV,68.633,79.633,87.424,89.054,88.170,89.729,92.910,92.910,132.844,83.881,73.079,49.321,162.440,154.635,157.054,176.757,154.116,189.199,92.910,92.910,238.930,261.360,161.470,233.910,5.000,4.000,2.000,4.000,0.000,1.000,0.000,0.000,1.000,2.000,1.000,2.000,2.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,380.000,36.000,90.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR103,33090,302.000,SWNO_220AAR103 → SWNO_33090,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023,,220 kV AAREY EHV STATION,DINDOSHI REC-STN,2005-09-06 00:00:00+00:00,2,33090,33KV,130.302,129.718,143.664,160.335,168.096,168.998,155.976,155.976,146.567,158.947,142.716,122.878,266.500,272.560,261.180,278.810,259.210,298.860,155.976,155.976,223.080,247.450,257.510,214.780,4.000,3.000,5.000,5.000,2.000,2.000,0.000,0.000,0.000,1.000,2.000,2.000,4.000,28.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR103,33302,2003.700,JT.NO.01 → JT.NO.02 → JT.NO.02 → JT.NO.03 → JT.NO.03 → JT.NO.04 → JT.NO.04 → JT.NO.05 → JT.NO.05 → JT.NO.06 → JT.NO.06 → JT.NO.07 → JT.NO.07 → JT.NO.08 → JT.NO.08 → JT.NO.09 → JT.NO.09 → JT.NO.10 → JT.NO.1 → JT.NO.10 → SWNO_33302,XLPE,3.0,Y,AL,,AL,2000.0,2024,,220 kV AAREY EHV STATION,SARVODAY NAGAR REC-STN,2021-07-02 00:00:00+00:00,11,33302,33KV,62.378,68.323,80.192,102.525,111.026,100.450,100.266,100.266,77.144,84.049,70.398,58.852,99.161,110.350,168.490,459.343,184.787,215.999,100.266,100.266,114.770,124.710,109.790,163.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,6.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000,16.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR108,33246,4087.878,JT.NO.01 → JT.NO.02 → JT.NO.03 → JT.NO.04 → JT.NO.04 → JT.NO.05A → JT.NO.05 → JT.NO.06A → JT.NO.05A → JT.NO.05 → JT.NO.06 → JT.NO.07 → JT.NO.06A → JT.NO.06B → JT.NO.06B → JT.NO.06 → JT.NO.07 → JT.NO.08 → JT.NO.08 → JT.NO.09 → JT.NO.09 → JT.NO.09A → JT.NO.09A → JT.NO.10 → JT.NO.10 → JT.NO.10B → JT.NO.10A → JT.NO.11 → JT.NO.10B → JT.NO.10A → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.17A → JT.NO.17 → JT.NO.18 → JT.NO.17A → JT.NO.17B → JT.NO.17B → JT.NO.17 → JT.NO.18 → JT.NO.19 → JT.NO.19 → JT.NO.20 → JT.NO.2 → JT.NO.2A → JT.NO.20 → JT.NO.21 → JT.NO.21 → JT.NO.21A → JT.NO.21A → SWNO_33246 → JT.NO.2A → JT.NO.2B → JT.NO.2B → JT.NO.2C → JT.NO.2C → JT.NO.3 → SWNO_220AAR108 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,9000.0,9091,,220 kV AAREY EHV STATION,J. B. NAGAR RECEIVING STATION,2006-08-11 00:00:00+00:00,34,33246,33KV,118.870,115.888,141.596,164.113,165.753,160.734,172.000,172.000,137.235,146.632,134.615,122.574,162.000,380.000,234.000,1382.000,222.000,272.000,172.000,172.000,204.000,210.000,260.000,190.000,0.000,6.000,5.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR109,33150,6103.711,JT.NO.01 → JT.NO.02 → JT.NO.02 → JT.NO.03 → JT.NO.03 → JT.NO.04 → JT.NO.04 → JT.NO.05 → JT.NO.05 → JT.NO.06 → JT.NO.06 → JT.NO.07 → JT.NO.07 → JT.NO.08 → JT.NO.08 → JT.NO.09 → JT.NO.09 → JT.NO.10 → JT.NO.10 → JT.NO.11 → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.16A → JT.NO.16A → JT.NO.17 → JT.NO.17 → JT.NO.18 → JT.NO.18 → JT.NO.19 → JT.NO.19 → JT.NO.20 → JT.NO.20 → JT.NO.21 → JT.NO.21 → JT.NO.22 → JT.NO.22 → JT.NO.23 → JT.NO.23 → JT.NO.24 → JT.NO.24 → JT.NO.24A → JT.NO.24A → JT.NO.25 → JT.NO.25 → JT.NO.26 → JT.NO.26 → JT.NO.27 → JT.NO.27 → JT.NO.28 → JT.NO.28 → JT.NO.29 → JT.NO.29 → JT.NO.30 → JT.NO.30 → JT.NO.31 → JT.NO.31 → JT.NO.32 → JT.NO.32 → JT.NO.33 → JT.NO.33 → JT.NO.34 → JT.NO.34 → JT.NO.35 → JT.NO.35 → JT.NO.36 → JT.NO.36 → JT.NO.37 → JT.NO.39 → JT.NO.40 → JT.NO.41 → JT.NO.42 → JT.NO.43 → JT.NO.44 → JT.NO.45 → JT.NO.46 → JT.NO.46 → JT.NO.47 → JT.NO.47 → JT.NO.48 → JT.NO.48 → JT.NO.49 → JT.NO.49 → JT.NO.50 → JT.NO.50 → JT.NO.51 → JT.NO.52 → JT.NO.53 → JT.NO.53 → JT.NO.54 → JT.NO.54 → JT.NO.55 → JT.NO.55 → JT.NO.56 → JT.NO.56 → SWNO_33150 → SWNO_220AAR109 → JT.NO.01,XLPE,3.0,Y,AL,<Null>,AL,2000.0,2023,,220 kV AAREY EHV STATION,HCC REC-STN,2010-07-20 00:00:00+00:00,53,33150,33KV,77.017,79.317,89.045,87.753,97.730,100.097,88.424,88.424,74.327,88.911,79.163,82.258,426.026,263.810,234.720,1302.726,264.497,205.764,88.424,88.424,141.320,179.810,144.890,176.970,8.000,6.000,9.000,5.000,5.000,3.000,0.000,0.000,2.000,3.000,4.000,3.000,88.000,285.000,344.000,2.000,86.000,6.000,0.000,0.000,0.000,6.000,0.000,158.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR112,33004,1054.200,JT.NO.01 → JT.NO.02A → JT.NO.01 → JT.NO.02B → JT.NO.01A → JT.NO.01 → JT.NO.02A → JT.NO.02 → JT.NO.02B → JT.NO.02C → JT.NO.02C → JT.NO.03B → JT.NO.03 → JT.NO.04 → JT.NO.03A → JT.NO.03 → JT.NO.03B → JT.NO.03A → JT.NO.04 → JT.NO.05 → JT.NO.05 → SWNO_33004 → SWNO_220AAR112 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023,,220 kV AAREY EHV STATION,SEEPZ REC-STN,2008-12-01 00:00:00+00:00,12,33004,33KV,49.720,52.676,57.737,59.632,60.313,58.277,24.000,24.000,64.282,64.425,52.645,50.826,256.000,236.000,392.000,132.000,360.000,168.000,24.000,24.000,200.000,272.000,116.000,240.000,10.000,7.000,8.000,7.000,5.000,3.000,0.000,0.000,1.000,1.000,2.000,3.000,472.000,376.000,382.000,429.000,448.000,698.000,0.000,0.000,48.000,72.000,296.000,312.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR32,33097,4272.860,JT.NO.01 → JT.NO.01A → JT.NO.01A → SWNO_33097 → SWNO_220AAR32 → JT.NO.01,XLPE,3.0,Y,AL,,AL,2000.0,6063,,AAREY 220KV R/S,HIRANANDANI REC-STN,2021-09-16 00:00:00+00:00,3,33097,33KV,107.480,114.975,125.041,146.989,157.811,146.493,132.593,132.593,123.616,134.708,112.895,105.379,231.940,238.050,198.470,369.148,318.173,236.524,132.593,132.593,190.990,202.670,173.860,178.170,0.000,2.000,4.000,2.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,36.000,12.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR34,33036,5754.200,JT.NO.01 → JT.NO.01 → JT.NO.01A → JT.NO.01A → JT.NO.01B → JT.NO.01B → JT.NO.02 → JT.NO.02 → JT.NO.3A → JT.NO.04 → JT.NO.4A → JT.NO.04A → JT.NO.04D → JT.NO.04C → JT.NO.05 → JT.NO.05 → JT.NO.05A → JT.NO.05A → JT.NO.05B → JT.NO.05B → JT.NO.6 → JT.NO.07 → JT.NO.07A → JT.NO.08 → JT.NO.9 → JT.NO.09 → JT.NO.10 → JT.NO.10 → JT.NO.11 → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.13A → JT.NO.13 → JT.NO.14 → JT.NO.13A → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.16A → JT.NO.16 → JT.NO.17 → JT.NO.16A → JT.NO.16B → JT.NO.16B → JT.NO.17 → JT.NO.16C → JT.NO.16D → JT.NO.16D → JT.NO.17 → JT.NO.17 → JT.NO.17A → JT.NO.17 → JT.NO.18 → JT.NO.17A → JT.NO.18 → JT.NO.18 → JT.NO.19 → JT.NO.19 → JT.NO.20 → JT.NO.19 → SWNO_33036 → JT.NO.20 → SWNO_33036 → JT.NO.3 → JT.NO.3B → JT.NO.3A → JT.NO.3 → JT.NO.3B → JT.NO.4 → JT.NO.4D → JT.NO.4C → JT.NO.6 → JT.NO.7 → JT.NO.7A → JT.NO.08 → JT.NO.9 → JT.NO.10,XLPE,3.0,Y,AL,HT33KV6908561LZI,AL,2000.0,2024,POTHEAD,220 kV AAREY EHV STATION,MEGHAWADI REC-STN,2008-02-23 00:00:00+00:00,48,33036,33KV,113.029,119.379,135.943,160.763,164.249,153.106,143.934,143.934,138.165,148.484,132.374,115.376,169.990,240.257,215.390,283.523,237.222,553.325,143.934,143.934,265.860,209.800,196.300,187.380,2.000,4.000,4.000,3.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1,33036,MEGHAWADI REC-STN,400,XLPE,2021-03-01 15:43:00+00:00,220KV AAREY REC-STN,220AAR34,MEGHAWADI REC-STN,33036,33KV,0.16666666666666666,139.0,4.56,155.0,ANDHERI,3.0,TAHIRA INDUSTRIAL ESTATE,,UNKNOWN,TAHIRA INDUSTRIAL ESTATE S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND,,,,
220AAR35,33177,5560.840,JT.NO.01 → JT.NO.02 → JT.NO.02 → JT.NO.03 → JT.NO.03 → JT.NO.04 → JT.NO.04 → JT.NO.05 → JT.NO.05 → JT.NO.06 → JT.NO.06 → JT.NO.07 → JT.NO.07 → JT.NO.08 → JT.NO.08 → JT.NO.09 → JT.NO.09 → JT.NO.10 → JT.NO.10 → JT.NO.11 → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.17 → JT.NO.17 → JT.NO.18 → JT.NO.18 → JT.NO.18A → JT.NO.18A → JT.NO.19 → JT.NO.19 → JT.NO.20 → JT.NO.20 → JT.NO.21 → JT.NO.22 → JT.NO.23 → JT.NO.23 → JT.NO.24 → JT.NO.24 → JT.NO.25 → JT.NO.25 → JT.NO.26 → JT.NO.26 → JT.NO.27 → JT.NO.27 → JT.NO.28 → JT.NO.28 → JT.NO.29 → JT.NO.29 → JT.NO.30 → JT.NO.30 → JT.NO.31 → JT.NO.31 → JT.NO.32 → JT.NO.32 → JT.NO.33 → JT.NO.33 → JT.NO.34 → JT.NO.34 → JT.NO.35 → JT.NO.35 → JT.NO.36 → JT.NO.36 → JT.NO.37 → JT.NO.37 → JT.NO.38 → JT.NO.38 → SWNO_33177 → SWNO_220AAR35 → JT.NO.01,XLPE,3.0,Y,AL,,AL,1000.0,1014,,220 kV AAREY EHV STATION,SAMBHAJI NAGAR REC-STN,2013-12-16 00:00:00+00:00,40,33177,33KV,67.126,70.476,80.557,96.425,105.400,95.850,95.158,95.158,84.313,88.687,71.127,61.527,197.780,233.200,204.470,141.932,333.664,143.244,95.158,95.158,120.370,122.060,107.750,114.740,4.000,2.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,252.000,85.000,20.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR37,33206,4588.274,JT.NO.01 → JT.NO.01A → JT.NO.01A → JT.NO.01B → JT.NO.01B → JT.NO.01C → JT.NO.01C → JT.NO.01D → JT.NO.01D → JT.NO.01E → JT.NO.01E → JT.NO.01F → JT.NO.01F → JT.NO.01G → JT.NO.01G → JT.NO.01H → JT.NO.01H → JT.NO.01J → JT.NO.01J → JT.NO.01K → JT.NO.01K → JT.NO.01L → JT.NO.01L → JT.NO.01M → JT.NO.01M → JT.NO.01N → JT.NO.01N → JT.NO.02 → JT.NO.01N → JT.NO.0P → JT.NO.02 → JT.NO.02A → JT.NO.02A → JT.NO.02B → JT.NO.02B → JT.NO.02C → JT.NO.02C → JT.NO.02D → JT.NO.02D → JT.NO.02E → JT.NO.02E → JT.NO.02F → JT.NO.02F → SWNO_33352 → SWNO_220AAR37 → JT.NO.01,XLPE,3.0,Y,AL,,AL,2000.0,2023,,220 kV AAREY EHV STATION,NAHAR SHAKTI R/S,2024-07-20 00:00:00+00:00,25,33206,33KV,122.215,138.367,154.846,153.434,166.938,152.530,144.865,144.865,145.756,154.802,128.901,123.642,241.911,261.340,287.970,261.540,259.943,233.874,144.865,144.865,277.730,259.830,209.610,219.530,2.000,2.000,3.000,1.000,3.000,1.000,0.000,0.000,1.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR38,33205,2882.500,JT.NO.1 → JT.NO.2 → JT.NO.10 → JT.NO.11 → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.17 → JT.NO.17 → JT.NO.18 → JT.NO.18 → JT.NO.18A → JT.NO.18A → JT.NO.18B → JT.NO.18B → JT.NO.19 → JT.NO.19 → JT.NO.19A → JT.NO.19A → SWNO_33205 → JT.NO.2 → JT.NO.3 → JT.NO.3 → JT.NO.4 → JT.NO.4 → JT.NO.5 → JT.NO.5 → JT.NO.6 → JT.NO.6 → JT.NO.7 → JT.NO.7 → JT.NO.7A → JT.NO.7A → JT.NO.8 → JT.NO.7B → JT.NO.8A → JT.NO.8 → JT.NO.9 → JT.NO.8A → JT.NO.8B → JT.NO.8B → JT.NO.8 → JT.NO.9 → JT.NO.10 → SWNO_220AAR38 → JT.NO.1,XLPE,3.0,Y,AL,HT33KV6908561KI6,AL,2000.0,2023,,220 kV AAREY EHV STATION,SAHAR PLAZA REC-STN,2017-11-13 00:00:00+00:00,27,33205,33KV,93.826,85.742,91.833,114.983,,,,,,,89.517,89.776,274.930,189.970,207.950,250.800,,,,,,,192.060,219.470,5.000,4.000,6.000,2.000,,,,,,,1.000,5.000,254.000,404.000,332.000,68.000,,,,,,,26.000,428.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR41,33011,4924.232,3C 400 XLPE CABLE IS SEALED ON SWAMINARAYAN RD OPP.TATA'S POWAI R/S → 3C 400 XLPE CABLE IS SEALED ON SWAMINARAYAN RD OPP.TATA'S POWAI REC-STN,XLPE,3.0,Y,AL,HT33KV6908545990,AL,6000.0,6063,POTHEAD,220 kV AAREY EHV STATION,VIKHROLI REC-STN,2006-09-21 00:00:00+00:00,30,33011,33KV,101.697,111.630,129.934,150.063,137.964,139.820,148.887,148.887,124.829,134.572,118.833,100.787,189.369,217.530,246.770,1201.731,625.603,242.987,148.887,148.887,259.490,207.850,235.860,176.860,3.000,2.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR41,33207,3896.514,SWNO_220AAR41 → SWNO_33207,XLPE,3.0,Y,AL,,AL,2000.0,6063,,220 kV AAREY EHV STATION,NAHAR SHAKTI REC-STN,2023-03-20 00:00:00+00:00,1,33207,22KV,102.509,104.290,102.720,115.039,116.865,120.926,125.248,125.248,122.630,115.092,109.649,100.272,236.980,220.710,223.940,240.683,172.215,252.291,125.248,125.248,165.460,160.440,320.480,134.150,4.000,4.000,5.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,2.000,0.000,31.000,16.000,8.000,3.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
220AAR42,33098,4177.400,JT.NO.01 → JT.NO.02 → JT.NO.02 → JT.NO.03 → JT.NO.03 → JT.NO.04 → JT.NO.04 → JT.NO.05 → JT.NO.05 → JT.NO.06 → JT.NO.06 → JT.NO.07 → JT.NO.07 → JT.NO.08 → JT.NO.08 → JT.NO.09 → JT.NO.09 → JT.NO.10 → JT.NO.10 → JT.NO.11 → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.17 → JT.NO.17 → JT.NO.18 → JT.NO.18 → JT.NO.19 → JT.NO.19 → JT.NO.20 → JT.NO.20 → JT.NO.21 → JT.NO.21 → JT.NO.22 → JT.NO.22 → JT.NO.23 → JT.NO.23 → JT.NO.24 → JT.NO.24 → SWNO_33098 → SWNO_220AAR42 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OVR,AL,2000.0,2023,,220 kV AAREY EHV STATION,HIRANANDANI REC-STN,2008-12-16 00:00:00+00:00,25,33098,33KV,116.013,125.307,144.346,163.611,174.245,166.276,160.972,160.972,140.301,159.134,131.671,124.389,218.099,273.950,242.860,538.707,257.276,250.135,160.972,160.972,194.200,238.830,189.510,275.150,1.000,3.000,3.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,30.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,1,33098,HIRANANDANI REC-STN,,,2016-09-09 12:46:49+00:00,,,,,,0.08583333333333333,,,,CHEMBUR,2.0,,,,,,,,
220AAR44,33199,2902.000,JT.NO.1 → JT.NO.2 → JT.NO.10 → JT.NO.11 → JT.NO.11 → JT.NO.12 → JT.NO.12 → JT.NO.13 → JT.NO.13 → JT.NO.14 → JT.NO.14 → JT.NO.15 → JT.NO.15 → JT.NO.16 → JT.NO.16 → JT.NO.17 → JT.NO.17 → JT.NO.18 → JT.NO.18 → JT.NO.19 → JT.NO.19 → JT.NO.19A → JT.NO.19A → SWNO_33199 → JT.NO.2 → JT.NO.3 → JT.NO.3 → JT.NO.4 → JT.NO.5 → JT.NO.5 → JT.NO.6 → JT.NO.6 → JT.NO.7 → JT.NO.7 → JT.NO.7C → JT.NO.7A → JT.NO.7B → JT.NO.7B → JT.NO.8 → JT.NO.7C → JT.NO.7D → JT.NO.7D → JT.NO.7A → JT.NO.8 → JT.NO.9 → JT.NO.9 → JT.NO.10 → SWNO_220AAR44 → JT.NO.1,XLPE,3.0,Y,AL,HT33KV6908561KI6,AL,2000.0,2023,,220 kV AAREY EHV STATION,SAHAR PLAZA REC-STN,2017-03-06 00:00:00+00:00,25,33199,33KV,105.588,107.506,116.119,137.749,,,,,,,101.399,107.455,225.940,211.340,209.690,217.070,,,,,,,135.100,204.960,4.000,4.000,5.000,2.000,,,,,,,0.000,5.000,24.000,0.000,0.000,0.000,,,,,,,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
